Pteropodid-Plant Interactions Database 1985-2020													
S.A. Aziz, K.R. McConkey, K. Tanalgo, T. Sritongchuay, M-R. Low, J.Y. Yong, T.L. Mildenstein, C.E Nuevo-Diego, V.C. Lim & P.A. Racey													
													
Fr = fruit (including fig syconia); Fl = flower (including nectar and/or pollen); L = leaf; Se = seed ingested; B = bark; T = twigs; Sa = sap													
C = conflict; D = diet; FM = foraging movement; P = pollination; SD = seed dispersal; SG = seed/spore germination ; NOTE that 'aspect studied/recorded/observed' does not necessarily mean the bat was confirmed as playing that role.													
NB: Genus or species epithets followed by (?) are those that were either not found in theplantlist.org or are unresolved, and could not be definitively identified or confirmed.													
													
Pteropodid species	Plant family	Plant genus	Plant species	Fr	Fl	L	Se	B	T	Sa	Country/ Region	Reference	Aspect studied/recorded/observed
Acerodon celebensis	Malvaceae	Durio	zibethinus		x						Indonesia (Sulawesi)	Sheherazade et al., 2019	P
Acerodon jubatus	Moraceae	Ficus	crassiramea	x			x				Philippines (Luzon)	Stier and Mildenstein, 2005	D
Acerodon jubatus	Moraceae	Ficus	glandulifera	x			x				Philippines (Luzon)	Stier and Mildenstein, 2005	D
Acerodon jubatus	Moraceae	Ficus	subcordata	x			x				Philippines (Luzon)	Stier and Mildenstein, 2005	D
Acerodon jubatus	Moraceae	Ficus	variegata	x			x				Philippines (Luzon)	Stier and Mildenstein, 2005	D
Acerodon jubatus	Rubiaceae	Nauclea	orientalis	x							Philippines (Luzon)	Stier and Mildenstein, 2005	D
Acerodon jubatus	unknown	unknown	unknown	unknown							Philippines (Luzon)	de Jong et al., 2013	FM
Acerodon mackloti	unknown	unknown	unknown		x						Indonesia (Lombok)	Kitchener et al., 1990	D
Aethelops alecto	Anacardiaceae	Anacardium	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Aethelops alecto	Euphorbiaceae	Euphorbia	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Aethelops alecto	Loranthaceae	Dendrophthoe	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Aethelops alecto	Loranthaceae	Helixanthera	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Aethelops alecto	Poaceae	Dendrocalamus	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Aethelops alecto	Sapindaceae	Cardiospermum	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Aethelops alecto	unknown	unknown	unknown		x						Indonesia (Lombok)	Kitchener et al., 1990	D
Balionycteris maculata	Annonaceae	Cyathocalyx	scortechinii	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Annonaceae	Polyalthia	obliqua	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Annonaceae	Polyalthia	sp.	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Annonaceae	Pseudovaria	setosa var. major	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Ebenaceae	Diospyros	sumatrana	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Gentianaceae	Fagraea	racemosa	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Balionycteris maculata	Gentianaceae	Fagraea	racemosa	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Loganiaceae	Strychnos	axillaris	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Melastomataceae	Memecylon	megacarpum	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Melastomataceae	Pternandra	echinata	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Balionycteris maculata	Melastomataceae	Pternandra	echinata	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Moraceae	Ficus	fistulosa	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Balionycteris maculata	Moraceae	Ficus	globosa	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Balionycteris maculata	Moraceae	Ficus	globosa	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Moraceae	Ficus	scortechinii	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Balionycteris maculata	Moraceae	Ficus	scortechinii	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Moraceae	Ficus	sundaica	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Myrtaceae	Syzygium	griffithii	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Myrtaceae	Syzygium	sp. 2	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Rhizophoraceae	Diplospora	malaccensis	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Rhizophoraceae	Pellacalyx	saccardianus	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Balionycteris maculata	Rhizophoraceae	Pellacalyx	saccardianus	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Rubiaceae	Nauclea	officinalis	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Balionycteris maculata	Rubiaceae	Nauclea	officinalis	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	Theaceae	Adinandra	sarosanthera	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Balionycteris maculata	unknown	unknown	unknown	unknown							Malaysia (Peninsula)	Hodgkison et al., 2003b	FM
Chironax melanocephalus	Annonaceae	Polyalthia	obliqua	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Chironax melanocephalus	Ebenaceae	Diospyros	sumatrana	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Chironax melanocephalus	Euphorbiaceae	Euphorbia	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Chironax melanocephalus	Fabaceae	Adenanthera	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Chironax melanocephalus	Moraceae	Ficus	globosa	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Chironax melanocephalus	Moraceae	Ficus	scortechinii	x			x				Malaysia (Peninsula)	Hodgkison et al., 2003a	D, SG
Chironax melanocephalus	Moraceae	Ficus	scortechinii	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Chironax melanocephalus	Rhizophoraceae	Pellacalyx	saccardianus	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Chironax melanocephalus	Sapindaceae	Cardiospermum	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Chironax melanocephalus	Theaceae	Adinandra	sarosanthera	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Cynopterus brachyotis	Acanthaceae	Avicennia	sp.	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Acanthaceae	Justicia	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Actinidiaceae	Saurauia	pentapetala	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Actinidiaceae	Saurauia	spp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Anacardiaceae	Anacardium	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Anacardiaceae	Campnosperma	auriculatum	x							Singapore	Phua and Corlett, 1989	D, SD
Cynopterus brachyotis	Anacardiaceae	Mangifera	indica	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Anacardiaceae	Mangifera	indica	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Annonaceae	Annona	squamosa	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Annonaceae	Cyathocalyx	scortechinii	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Cynopterus brachyotis	Annonaceae	Mezzettia	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Annonaceae	Polyalthia	longifolia	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Annonaceae	Polyalthia	longifolia	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Arecaceae	Calamus	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Arecaceae	Dypsis	lutescens	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Arecaceae	Dypsis	lutescens	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Arecaceae	Elaeis	guineensis x oleifera	unknown							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Arecaceae	Licuala	grandis	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Arecaceae	Licuala	grandis	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Arecaceae	Licuala	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Arecaceae	Livistona	chinensis	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Arecaceae	Livistona	chinensis	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Arecaceae	Livistona	chinensis	x							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Arecaceae	Pinanga	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Arecaceae	Plectocomiopsis	geminiflora	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Arecaceae	Ptychosperma 	macarthurii 	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Arecaceae	Ptychosperma 	macarthurii 	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Arecaceae	Roystonea	regia		x						Indonesia (Java)	Sheherazade et al., 2017	D, FM
Cynopterus brachyotis	Arecaceae	Roystonea	regia	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Arecaceae	Roystonea	regia	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Arecaceae	Saribus	rotundifolius	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Arecaceae	Saribus	rotundifolius	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Bignoniaceae	Oroxylum	indicum		x						Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Bignoniaceae	Oroxylum	indicum		x						Malaysia (Peninsula)	Nor Zalipah, 2014	D
Cynopterus brachyotis	Bignoniaceae	Oroxylum	indicum		x						Thailand	Stewart et al., 2014	D, FM
Cynopterus brachyotis	Bignoniaceae	Oroxylum	indicum		x						Thailand	Stewart and Dudash, 2017b	P
Cynopterus brachyotis	Bignoniaceae	Spathodea	campanulata	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Burseraceae	Canarium	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Clusiaceae	Calophyllum	inophyllum	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Clusiaceae	Calophyllum	inophyllum	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Clusiaceae	Calophyllum	inophyllum	x							Singapore	Phua and Corlett, 1989	D, SD
Cynopterus brachyotis	Clusiaceae	Calophyllum	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Clusiaceae	Garcinia	subelliptica	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Clusiaceae	Garcinia	sp.	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Combretaceae	Terminalia	catappa	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Combretaceae	Terminalia	catappa	x							Malaysia (Penang)	Guy and Baker, 2017	D, FM
Cynopterus brachyotis	Combretaceae	Terminalia	catappa	x							Singapore	Phua and Corlett, 1989	D, SD
Cynopterus brachyotis	Combretaceae	Terminalia	catappa	x			x				Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Cucurbitaceae	Coccinia	grandis	unknown							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Cucurbitaceae	Coccinia	grandis	unknown							Singapore	Chan et al., 2020	D
Cynopterus brachyotis	Cucurbitaceae	Coccinia	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Cyperaceae	Cyperus	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Dilleniaceae	Dillenia	reifferscheidia	x							Philippines (Negros)	Hamann and Curio, 1999	FM
Cynopterus brachyotis	Dipterocarpaceae	Shorea	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Ebenaceae	Diospyros	lanceifolia	x							Thailand	Bumrungsri et al., 2007	D, FM
Cynopterus brachyotis	Ebenaceae	Diospyros	sp.	x							Indonesia (Java)	Sheherazade et al., 2017	D, FM
Cynopterus brachyotis	Ebenaceae	Diospyros	sp.	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Ebenaceae	Diospyros	sp.	x							Singapore	Phua and Corlett, 1989	D, SD
Cynopterus brachyotis	Ebenaceae	Diospyros	sp. 1	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Ebenaceae	Diospyros	sp. 2	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Elaeocarpaceae	Elaeocarpus	stipularis	x							Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Elaeocarpaceae	Elaeocarpus	stipularis	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Elaeocarpaceae	Elaeocarpus	stipularis	x							Malaysia (Peninsula)	Fletcher et al., 2012	D
Cynopterus brachyotis	Elaeocarpaceae	Elaeocarpus	stipularis	x							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Elaeocarpaceae	Elaeocarpus	stipularis var. stipularis	x							Malaysia (Peninsula)	Hodgkison et al., 2004	D
Cynopterus brachyotis	Elaeocarpaceae	Elaeocarpus	sp.	x							Malaysia (Peninsula)	Tan et al., 2000	D, SD
Cynopterus brachyotis	Elaeocarpaceae	Elaeocarpus	sp.	x							Malaysia (Peninsula)	Lim et al., 2018a	D
Cynopterus brachyotis	Euphorbiaceae	Erythrococca	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Euphorbiaceae	Euphorbia	sp.		x						Indonesia (Java)	Maryati et al., 2020	D
Cynopterus brachyotis	Euphorbiaceae	Hevea	brasiliensis			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Euphorbiaceae	Macaranga	gigantea	x							Malaysia (Sarawak)	Mohd-Azlan et al., 2010	D, FM
Cynopterus brachyotis	Fabaceae	Bauhinia	purpurea		x						Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Calliandra	sp.		x						Indonesia (Java)	Sheherazade et al., 2017	D, FM
Cynopterus brachyotis	Fabaceae	Cassia	fistula		x	x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	fusca			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	orientalis			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	sp.			x					Malaysia (Peninsula)	Tan et al., 1998	D
Cynopterus brachyotis	Fabaceae	Erythrina	subumbrans			x					Malaysia (Peninsula)	Tan et al., 1998	D
